"3", "Natura 2000", "59.39518333","24.68772500",44,"mänd"
"3", "Natura 2000", "59.39479333","24.68804000",32,"mänd"
"3", "Natura 2000", "59.39304833","24.68928833",7,"lehtpuu"
"3", "Natura 2000", "59.39298833","24.68935667",7,"lehtpuu"
"3", "Natura 2000", "59.39296000","24.68937167",8,"lehtpuu"
"3", "Natura 2000", "59.39332500","24.69162500",39,"lehtpuu"
"3", "Natura 2000", "59.39332167","24.69152333",11,"lehtpuu"
"3", "Natura 2000", "59.39332500","24.69163000",7,"lehtpuu"
"3", "Natura 2000", "59.39333333","24.69162500",44,"lehtpuu"
"3", "Natura 2000", "59.39338000","24.69191333",15,"lehtpuu"
"3", "Natura 2000", "59.39338500","24.69191833",12,"lehtpuu"
"3", "Natura 2000", "59.39338500","24.69191833",10,"lehtpuu"
"3", "Natura 2000", "59.39338500","24.69191833",10,"lehtpuu"
"3", "Natura 2000", "59.39338500","24.69191833",46,"lehtpuu"
"3", "Natura 2000", "59.39338500","24.69191833",54,"lehtpuu"
"3", "Natura 2000", "59.39338500","24.69191833",8,"lehtpuu"
"3", "Natura 2000", "59.39348833","24.69213500",36,"mänd"
"3", "Natura 2000", "59.39352000","24.69215000",7,"lehtpuu"
"3", "Natura 2000", "59.39356000","24.69223167",54,"mänd"
"3", "Natura 2000", "59.39356000","24.69223167",50,"mänd"
"3", "Natura 2000", "59.39431167","24.69296667",39,"mänd"
"3", "Natura 2000", "59.39474000","24.69328667",31,"lehtpuu"
"3", "Natura 2000", "59.39486333","24.69335333",26,"lehtpuu"
"3", "Natura 2000", "59.39486333","24.69335333",27,"lehtpuu"
"3", "Natura 2000", "59.39486333","24.69335333",49,"lehtpuu"
"3", "Natura 2000", "59.39488500","24.69335667",43,"lehtpuu"
"3", "Natura 2000", "59.39488500","24.69335667",15,"lehtpuu"
